velz,logage,zH,FeH,MgFe,ML_r,g-r
6433.6949,0.9491,-1.0445,-0.7797,-0.005699999999999983,0.8284,0.5592896832186511
6418.8669,1.1085,-1.2262,-0.7512,0.06060000000000004,1.4183,0.5245904843865787
6522.7967,0.9637,-0.9853,-1.1827999999999999,-0.11329999999999996,2.2947,0.6021649471144741
6420.0573,1.0958,-1.203,-1.1417,-0.17899999999999994,1.2015,0.5110995905311597
6422.8379,0.8411,-1.2544,-1.3138999999999998,0.6005,1.215,0.5568856851205624
6363.782,0.981,-1.237,-1.3782999999999999,0.38580000000000003,1.5543,0.5950123393251516
6398.9002,0.813,-1.7005,-0.7283000000000001,0.85714,1.6691,0.5263011455951982
6445.0644,1.0452,-1.3549,-0.9954,0.3003,2.3207,0.5615722810772894
6527.4853,1.0266,-1.6001,-1.7302,0.7601,2.175,0.5771716002569036
6504.1468,0.8956,-1.2241,0.2247,0.25429999999999997,1.411,0.5392427238265327
6362.3511,1.0935,-1.4362,-0.9321999999999999,1.185,0.7693,0.5730419775453583
6426.2517,0.9041,-1.5725,-0.8673,0.2792,1.3894,0.5665112717099703
6382.006,1.0122,-1.702,-1.398,-0.13839999999999997,2.1376,0.53050367204672
6419.194,1.0687,-1.621,-1.0282,-0.27369999999999994,1.673,0.5439006920996832
6519.3764,0.8109,-0.8451,-0.14829999999999993,0.04763000000000002,1.2559,0.5430138826212243
6454.6458,0.9264,-1.773,-1.9293,-0.1764,2.096,0.5180458458345214
6419.194,1.1178,-1.4381,-1.2538,0.509,2.0932,0.564293526361908
6348.8578,0.9637,-1.6731,-1.0686,-0.36560000000000004,1.8869,0.5871494478140136
6387.0255,0.8411,-1.5342,-1.7510000000000001,0.15490000000000004,2.0932,0.59249776831264
6462.8459,0.8101,-1.0823,-1.7757,-0.2528,1.7176,0.5323092041425497
6376.7758,1.1303,-1.6759,-1.192,-0.31710000000000005,1.5475,0.5592421686374394
6445.092,1.1451,-1.0248,-1.191,0.38220000000000004,0.9209,0.49806754230269235
6364.5796,1.0843,-1.287,-1.8272,-0.35960000000000003,1.7493,0.5635563097214202
6483.521,0.9241,-1.3956,-1.8319999999999999,-0.19440000000000002,1.3894,0.5921890310291502
6461.4581,0.9182,-1.5408,-0.8926999999999998,0.3804,1.7791,0.5762323140337173
6257.1924,0.9693,-1.4391,-1.1015,-0.1349999999999999,2.3294,0.5750128631598272
6517.3007,0.607,-1.5664,-0.9702,0.7136,1.7768,0.591921802004336
6511.8156,0.9137,-1.6202,-1.4706,0.3909,1.375,0.5330401191099554
6436.936,0.81,-0.9987,-1.2094,0.9142,1.8005,0.5024503569012495
6401.4348,0.8563,-1.3246,-0.8076999999999999,0.9551999999999999,1.4183,0.5220773005103325
6410.8376,0.8198,-1.6018,-1.596,0.85714,2.0266,0.5153100921734932
6421.3856,1.1227,-1.3747,-1.464,0.41000000000000003,1.4293,0.5031282574985738
6279.1884,1.1003,0.2797,-0.8439999999999999,0.4721,1.2985,0.5029581204895379
6387.4419,0.9938,-1.4662,-1.461,1.1324,2.0443,0.5544005562372405
6311.1878,1.083,-1.3561,-1.2952000000000001,0.19780000000000003,1.3796,0.6169665924041112
6359.9357,0.7126,-1.3572,-0.187,1.1324,2.113,0.5170927302136477
6411.3836,0.8411,-1.0189,-1.5449000000000002,0.7791,1.3278,0.5985397917230131
6455.2162,0.9499,-1.5776,-1.9312999999999998,0.8827,2.1824,0.5454679212900828
6362.2806,0.7809,-1.5337,-0.9778000000000001,1.0124,2.2824,0.5366471985127532
6438.0756,1.0272,-1.2386,-1.1493,0.5289,1.4422,0.5017967557206475
6433.8027,1.0983,0.147,-0.7601,0.09520000000000006,1.9744,0.5612087271912287
