# Table 1.
# Ultradiffuse galaxy sample and other targets from the Coma cluster studied in this work. The horizontal lines separate UDGs from LSB galaxies and from filler, non-UDGs, respectively. The galaxy IDs, coordinates, R-band magnitudes, B − R colours, surface brightnesses, and sizes for the UDGs and LSB galaxies are from the Yagi et al. (2016) catalogue. Masks ‘C’ and ‘O’ denote the central and outer masks, respectively, described in Section 2.2, while mask ‘D16’ is described in Section 2.4. SNR is measured around the Hβ or Hα region, as described in text. The galaxy IDs shown for the filler objects are mostly from the SDSS DR14 (Abolfathi et al. 2017) catalogue except when they have also been catalogued in Godwin, Metcalfe & Peach (1983). We have translated their SDSS-r band magnitudes into Subaru–R band using equation 2 and table 1 from Yagi et al. (2013). The sizes shown for the filler galaxies are from single component Sérsic fits to their Subaru–R band image. Only the filler objects for which we have successfully measured radial velocities are shown in the table. In the ‘Add. IDs’ column, we list the IDs of our galaxy sample as presented in Godwin et al. (1983) and van Dokkum et al. (2015).
# aThe size we report for Yagi 771 is updated to correspond to a distance of ∼160 Mpc and the radial velocity shown.
# bYagi012 is the ultradiffuse galaxy from the D16 mask with radial velocity not published in the literature.
# cJ125924.95+274529.0 is not detected in SDSS DR14 but has photometry available in the catalogue of Adami et al. (2006).
Galaxy	RA	Dec.	Mask	R	B−R	mu0	Re	SNR	Vel e_Vel	Additional_IDs
Yagi090 	13:00:20.37 	+27:49:24.0 	C 	20.3 	0.86 	24.4 	1.92 	<5 	− 	– 
Yagi093 	13:00:20.61 	+27:47:12.3 	C 	18.9 	0.96 	23.6 	3.49 	15.3 	6611 137 	DF26, GMP2748 
Yagi098 	13:00:23.20 	+27:48:17.1 	C 	19.6 	0.96 	24.9 	2.30 	20.8 	5980 82 	– 
Yagi263 	12:59:15.33 	+27:45:14.8 	C 	20.8 	1.04 	24.3 	2.04 	5.7 	6695 147 	– 
Yagi275 	12:59:29.89 	+27:43:03.1 	C 	19.2 	0.92 	23.5 	2.93 	15.2 	4847 149 	GMP3418 
Yagi276 	12:59:30.46 	+27:44:50.4 	C 	19.6 	0.9 	24.0 	2.25 	13.9 	7343 102 	DF28 
Yagi285 	12:59:48.72 	+27:46:39.0 	C 	19.7 	1.0 	24.8 	3.88 	12.4 	6959 121 	DF25 
Yagi364 	12:59:23.85 	+27:47:27.2 	C 	20.0 	0.95 	25.2 	2.42 	15.8 	7068 90 	DF23 
Yagi392 	12:59:56.17 	+27:48:12.8 	C 	20.7 	0.97 	24.0 	1.46 	7.3 	7748 161 	– 
Yagi398 	13:00:00.41 	+27:48:19.7 	C 	20.1 	0.96 	23.6 	1.34 	19.5 	4180 167 	– 
Yagi417 	13:00:12.10 	+27:48:23.5 	C 	21.4 	0.83 	24.9 	1.62 	8.5 	9038 179 	– 
Yagi418 	13:00:11.71 	+27:49:41.0 	C 	20.4 	0.93 	23.9 	1.57 	16.0 	8335 187 	– 
Yagi762 	12:55:55.40 	+27:27:35.9 	O 	20.5 	− 	24.5 	1.97 	5.5 	7188 127 	DF36 
Yagi764 	12:55:56.65 	+27:30:17.6 	O 	20.0 	− 	23.5 	2.44 	7.2 	7050 115 	– 
Yagi767 	12:55:59.15 	+27:25:53.4 	O 	20.6 	− 	24.3 	2.37 	<5 	− 	– 
Yagi771 	12:56:05.38 	+27:30:18.2 	O 	22.2 	− 	24.8 	1.60 	5.4 	11007 192 	– 
Yagi774 	12:56:12.95 	+27:32:50.3 	O 	20.6 	0.68 	25.9 	3.07 	<5 	− 	– 
Yagi776 	12:56:14.15 	+27:33:19.7 	O 	20.2 	0.81 	24.0 	2.3 	7.4 	8473 81 	– 
Yagi781 	12:56:28.29 	+27:36:11.5 	O 	20.8 	− 	24.2 	1.64 	<5 	− 	– 
Yagi782 	12:56:28.41 	+27:37:06.3 	O 	20.1 	− 	24.6 	2.8 	<5 	− 	DF32 
Yagi786 	12:56:35.20 	+27:35:07.0 	O 	19.4 	− 	23.5 	2.34 	6.6 	7810 141 	– 
Yagi012 	13:01:05.30 	+27:09:35.1 	D16 	20.6 	− 	23.7 	1.57 	4.1 	6473 33 	DFX2 
Yagi266 	12:59:20.25 	+27:46:33.3 	C 	22.6 	− 	25.7 	0.87 	5.2 	6366 139 	– 
Yagi413 	13:00:10.19 	+27:49:19.8 	C 	22.2 	0.84 	24.2 	0.85 	9.7 	5014 196 	– 
Yagi772 	12:56:09.07 	+27:34:16.2 	O 	21.7 	− 	24.7 	1.21 	<5 	− 	– 
GMP2749 	13:00:20.48 	+27:48:17.0 	C 	18.4 	− 	− 	1.59 	18.8 	5846 74 	– 
GMP2800 	13:00:17.55 	+27:47:03.9 	C 	16.7 	− 	− 	2.92 	21.8 	7001 132 	– 
GMP2923 	13:00:08.05 	+27:46:24.1 	C 	16.8 	− 	− 	2.09 	9.8 	8652 125 	– 
GMP2945 	13:00:06.29 	+27:46:32.9 	C 	14.6 	− 	− 	2.63 	24.3 	6091 66 	– 
GMP3037 	12:59:59.39 	+27:47:55.8 	C 	19.1 	− 	− 	0.76 	11.6 	13938 142 	– 
GMP3071 	12:59:56.11 	+27:44:46.7 	C 	16.1 	− 	− 	1.39 	13.9 	8810 99 	– 
GMP3519 	12:59:22.94 	+27:43:24.5 	C 	18.7 	− 	− 	1.88 	19.2 	4062 167 	– 
GMP3298 	12:59:37.83 	+27:46:36.6 	C 	15.3 	− 	− 	4.27 	18.5 	5554 41 	– 
GMP3493 	12:59:24.93 	+27:44:19.9 	C 	14.9 	− 	− 	1.38 	23.2 	6001 80 	– 
J125924.95+274529.0 	12:59:24.95 	+27:45:29.0 	C 	21.9 	− 	− 	0.82 	6.2 	5420 166 	– 
J125944.10+274607.5 	12:59:44.11 	+27:46:07.6 	C 	19.2 	− 	− 	0.91 	22.9 	6109 127 	– 
J125942.65+274658.8 	12:59:42.65 	+27:46:59.4 	C 	20.2 	− 	− 	1.36 	30.1 	5418 163 	– 
J125948.33+274547.6 	12:59:48.37 	+27:45:48.2 	C 	21.2 	− 	− 	1.37 	9.6 	8039 109 	– 
J125939.09+274557.5 	12:59:39.10 	+27:45:57.5 	C 	20.1 	− 	− 	0.88 	15.7 	7791 164 	– 
GMP5357 	12:56:34.86 	+27:37:38.6 	O 	18.5 	− 	− 	1.98 	13.2 	7239 97 	– 
GMP5455 	12:56:24.46 	+27:32:18.4 	O 	17.8 	− 	− 	1.33 	18.4 	7413 85 	– 
GMP5465 	12:56:23.36 	+27:32:38.5 	O 	17.3 	− 	− 	0.87 	17.5 	7149 50 	– 
J125638.44+273415.3 	12:56:38.44 	+27:34:15.3 	O 	17.4 	− 	− 	1.68 	8.8 	7549 49 	– 
J125623.18+273358.1 	12:56:23.18 	+27:33:58.1 	O 	19.2 	− 	− 	0.68 	5.0 	5655 69 	– 
J125608.14+272906.5 	12:56:08.14 	+27:29:06.5 	O 	21.7 	− 	− 	1.07 	5.1 	6946 143 	– 
J125620.09+273623.7 	12:56:20.09 	+27:36:23.7 	O 	20.7 	− 	− 	0.97 	13.3 	6208 87 	– 
J125610.30+273104.4 	12:56:10.30 	+27:31:04.4 	O 	22.7 	− 	− 	0.44 	5.2 	6333 182 	– 
J125603.20+273213.4 	12:56:03.20 	+27:32:13.4 	O 	21.4 	− 	− 	0.57 	8.7 	3434 150 	– 
J130110.36+265636.4 	13:01:10.36 	+26:56:36.4 	D16 	18.3 	− 	− 	0.53 	10.6 	7916 75 	– 
J130103.69+265717.2 	13:01:03.69 	+26:57:17.2 	D16 	19.3 	− 	− 	0.38 	14.6 	7719 40 	– 
J130109.88+265839.2 	13:01:09.88 	+26:58:39.2 	D16 	21.3 	− 	− 	0.49 	6.2 	9028 25 	– 
J130108.86+270006.3 	13:01:08.86 	+27:00:06.3 	D16 	22.7 	− 	− 	0.40 	4.8 	5272 40 	– 
J130104.75+270035.0 	13:01:04.75 	+27:00:35.0 	D16 	18.1 	− 	− 	0.71 	16.2 	4563 67 	– 
J130111.71+270136.9 	13:01:11.71 	+27:01:36.9 	D16 	21.2 	− 	− 	0.65 	7.7 	4160 27 	– 
J130113.58+270158.8 	13:01:13.58 	+27:01:58.8 	D16 	22.0 	− 	− 	0.4 	8.8 	8015 37 	– 
J130115.54+270348.0 	13:01:15.54 	+27:03:48.0 	D16 	19.9 	− 	− 	0.47 	12.6 	7762 58 	– 
J130108.49+270817.7 	13:01:08.49 	+27:08:17.7 	D16 	20.7 	− 	− 	0.86 	7.7 	5045 34 	– 
J130109.18+271110.3 	13:01:09.18 	+27:11:10.3 	D16 	21.0 	− 	− 	0.49 	6.3 	9957 29 	– 
J130117.24+271104.5 	13:01:17.24 	+27:11:04.5 	D16 	21.4 	− 	− 	0.34 	4.2 	5058 20 	– 
J130124.47+271129.5 	13:01:24.47 	+27:11:29.5 	D16 	22.5 	− 	− 	0.47 	6.6 	8428 44 	– 

