Galaxy,Type,R.A. (J2000),Dec. (J2000),Vr (km s−1),e_Vr,R (mag),B  R (mag),Re (kpc)
Yagi093 (DF26),UDG,13:00:20.614,+27:47:12.31,6611,137,18.9,0.96,3.49
Yagi098,UDG,13:00:23.201,+27:48:17.14,5980,82,19.6,0.96,2.30
Yagi275,UDG,12:59:29.891,+27:43:03.07,4847,149,19.2,0.92,2.93
Yagi276 (DF28),UDG,12:59:30.463,+27:44:50.40,7343,102,19.6,0.90,2.25
Yagi392,UDG,12:59:56.174,+27:48:12.78,7748,161,20.7,0.97,1.46
Yagi398,UDG,13:00:00.414,+27:48:19.68,4180,167,20.1,0.96,1.34
Yagi418,UDG,13:00:11.710,+27:49:40.99,8335,187,20.4,0.93,1.57
J125944+274607,LLG (dE),12:59:44.105,+27:46:07.57,6109,127,19.2,,0.92
J125942+274658,LLG (dE),12:59:42.650,+27:46:59.44,5418,163,20.2,,1.36
J125948+274547,LLG (dE),12:59:48.372,+27:45:48.21,8039,109,21.2,,1.37
J125939+274557,LLG (dE),12:59:39.096,+27:45:57.53,7791,164,20.1,,0.88
GMP2749,LLG (dE),13:00:20.482,+27:48:17.03,5846,74,18.4,,1.59
GMP3519,LLG (S),12:59:22.944,+27:43:24.48,4062,167,18.7,,1.88
GMP2800,HLG (dE0),13:00:17.553,+27:47:03.94,7001,132,16.7,,2.92
GMP2923,HLG (SBb),13:00:08.054,+27:46:24.08,8652,125,16.8,,2.09
GMP2945,HLG (Sa),13:00:06.288,+27:46:32.88,6091,66,14.6,,2.63
GMP3071,HLG (Sb),12:59:56.112,+27:44:46.72,8810,99,16.2,,1.39
GMP3298,HLG (S0/a),12:59:37.828,+27:46:36.62,5554,41,15.3,,4.27
GMP3493,HLG (Sa),12:59:24.931,+27:44:19.86,6001,80,14.9,,1.38
